기준일,연번,위탁병원명,종별,병상수,진료과수,광역시도명,시군구명,상세주소,전화번호,위도,경도
2025-01-01,156,새벽의원,의원,0,2,경기도,양평군,양평읍 시민로 6-1 보원 메디컬 3층 새벽 피부비뇨기과,031-774-6247,37.48898067,127.492859
2025-01-01,157,푸른정형외과의원,의원,0,8,경기도,양평군,양평읍 시민로 29,031-774-7582,37.49034938,127.4947495
2025-01-01,158,세종여주병원,병원,126,12,경기도,여주시,"청심로 47 (하동, 여주고려병원)",031-880-7700,37.30132807,127.6267045
2025-01-01,159,강비뇨기과의원(연천),의원,0,2,경기도,연천군,전곡읍 전곡로 166 강비뇨기과의원,031-835-0108,38.02683841,127.0679826
2025-01-01,160,연천군보건의료원,의원,52,9,경기도,연천군,전곡읍 은대성로 95,031-839-4001,38.0235301,127.0609629
2025-01-01,161,조은오산병원,종합병원,219,14,경기도,오산시,오산로 307 조은오산병원,1544-5355,37.15420566,127.0682033
2025-01-01,162,(의)영문의료재단 다보스병원,종합병원,235,21,경기도,용인시,처인구 백옥대로1082번길 18,031-8021-2114,37.23154055,127.2114013
2025-01-01,163,용인강남병원,종합병원,299,16,경기도,용인시,기흥구 중부대로 411 (신갈동),031-300-0114,37.27367205,127.1114319
2025-01-01,164,더원요양병원,요양병원,295,6,경기도,용인시,기흥구 용구대로 2252 더원요양병원,031-282-8123,37.28753849,127.1088444
2025-01-01,165,맨스톤비뇨의학과의원,의원,1,1,경기도,용인시,기흥구 죽전로 2 4층,031-265-5375,37.32021294,127.1089671
2025-01-01,166,맨스톤비뇨의학과의원,의원,1,1,경기도,용인시,기흥구 죽전로 2 4층,031-265-5375,37.32021294,127.1089671
2025-01-01,167,비젼내과의원,의원,0,2,경기도,용인시,기흥구 보정로 115 (보정동) 우영프라자 4층,031-896-3000,37.31986349,127.1152444
2025-01-01,168,서울플란트치과의원,의원,0,8,경기도,용인시,"기흥구 용구대로 2384, 2층",031-283-2581,37.29927375,127.108052
2025-01-01,169,수지엘내과의원,의원,0,13,경기도,용인시,"수지구  신봉1로 73, 3층",031-272-6699,37.32292132,127.076677
2025-01-01,170,아가페의료재단 시티병원,병원,176,14,경기도,의왕시,오전천로 29,031-340-0114,37.35027753,126.9767906
2025-01-01,171,한국한센복지협회부설의원,의원,29,3,경기도,의왕시,원골로 59 (오전동),031-452-7093,37.36290946,126.9714603
2025-01-01,172,경기도립의료원 의정부병원,종합병원,214,16,경기도,의정부시,흥선로 142,031-828-5000,37.74108979,127.0425483
2025-01-01,173,(의)희경의료재단 성베드로병원,병원,124,7,경기도,의정부시,평화로 622 (의정부동) 성베드로병원,1544-1131,37.74752285,127.0458583
2025-01-01,174,서울아산이비인후과의원,의원,2,1,경기도,의정부시,평화로 540 퍼시픽타워 11층,0507-1405-3710,37.74007792,127.0477804
2025-01-01,175,윤석주내과의원,의원,0,1,경기도,의정부시,"호국로 1336 (의정부동) 5,6,7 층 윤석주내과",031-843-3000,37.74406124,127.0523589
2025-01-01,176,서울신세계안과의원,의원,4,1,경기도,의정부시,태평로 73번길 55,1599-7397,37.73886661,127.0484086
2025-01-01,177,요한비뇨기과의원,의원,1,5,경기도,의정부시,"시민로 39, 3층",031-855-8822,37.73854176,127.0394496
2025-01-01,178,경기도의료원 이천병원,종합병원,128,12,경기도,이천시,"경충대로 2742 (관고동, 경기도립의료원이천병원)",031-639-4800,37.2828192,127.4332429
2025-01-01,179,서울삼성내과의원,의원,0,2,경기도,이천시,"마장면 오천로 49, 4층",031-8011-3875,37.25283651,127.3533964
2025-01-01,180,연세든든내과,의원,2,4,경기도,이천시,"영창로 202, 가동 5층(창전동)",031-694-0775,37.28077549,127.4450652
2025-01-01,181,경기도의료원 파주병원,종합병원,200,14,경기도,파주시,중앙로 207 (금촌동),031-940-9100,37.75488198,126.779638
2025-01-01,182,무척조은병원,병원,109,14,경기도,파주시,문산읍 방촌로 1675-20,031-954-1400,37.86396951,126.7809571
2025-01-01,183,금촌비뇨기과의원,의원,0,7,경기도,파주시," 중앙로 308, 금촌타워 상가아파트 304~306호",031-941-3588,37.7634005,126.7756848
2025-01-01,184,두리이비인후과의원(파주),의원,3,1,경기도,파주시," 미래로 371, 1001-1002호(동패동)",031-946-2115,37.71108155,126.7458556
2025-01-01,185,센트럴제일안과의원,의원,0,6,경기도,파주시,"경의로 1092, 401호, 406호~408호, 501호",031-978-8275,37.71489907,126.7600934
2025-01-01,186,연세탄탄정형외과의원,의원,0,5,경기도,파주시,"책향기로 836, 아름터타워 3층",031-939-1004,37.72927243,126.7637564
2025-01-01,187,평택성모병원,종합병원,352,17,경기도,평택시,평택로 284,031-1800-8800,37.00840726,127.0743431
2025-01-01,188,성심중앙병원,병원,81,7,경기도,평택시,안현로서6길 16 (성심중앙병원),031-681-1119,36.98406061,126.927669
2025-01-01,189,건강드림내과의원,의원,16,6,경기도,평택시,"지산로 64, 1~5층",031-666-8275,37.07968015,127.0620631
2025-01-01,190,로뎀나무내과의원,의원,0,5,경기도,평택시,중앙로 82-1 (합정동) 2층,031-654-1905,36.99372993,127.0921472
2025-01-01,191,하나의원,의원,0,3,경기도,평택시,송탄로 410(지산동),031-663-9798,37.08013521,127.0580761
2025-01-01,192,평택김안과의원,의원,3,1,경기도,평택시,"중앙로 270, 2~5층",031-652-5161,36.98989293,127.1126829
2025-01-01,193,경기도립의료원 포천병원,종합병원,142,15,경기도,포천시,포천로 1648,031-539-9114,37.90309115,127.1983435
2025-01-01,194,한성내과의원,의원,0,2,경기도,포천시,소흘읍 솔모루로 114,031-532-2375,37.83100888,127.1492521
2025-01-01,195,햇살병원,병원,62,5,경기도,하남시,신평로 51 (신장동),031-791-7330,37.53847653,127.2046215
